<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.02	08:00:00	21389.03	21397.65	21378.00	21378.50	6183	0	95
2025.01.02	08:15:00	21378.40	21382.53	21371.28	21381.65	5128	0	95
2025.01.02	08:30:00	21381.53	21381.53	21356.28	21358.40	6146	0	95
2025.01.02	08:45:00	21358.50	21365.40	21345.50	21357.00	7161	0	95
2025.01.02	09:00:00	21357.25	21424.15	21353.50	21418.65	22507	0	95
2025.01.02	09:15:00	21418.75	21421.00	21342.50	21346.50	20235	0	95
2025.01.02	09:30:00	21346.50	21369.65	21317.78	21347.00	25268	0	95
2025.01.02	09:45:00	21347.25	21382.90	21335.50	21374.50	17738	0	95
2025.01.02	10:00:00	21374.75	21400.03	21349.78	21395.25	20713	0	95
2025.01.02	10:15:00	21395.25	21405.00	21379.15	21393.50	11839	0	95
2025.01.02	10:30:00	21393.50	21398.15	21361.03	21389.15	14964	0	95
2025.01.02	10:45:00	21389.00	21402.90	21379.40	21401.90	9586	0	95
2025.01.02	11:00:00	21401.78	21410.65	21359.00	21369.40	11975	0	95
2025.01.02	11:15:00	21369.28	21391.28	21364.25	21385.15	8488	0	95
2025.01.02	11:30:00	21385.03	21403.40	21380.90	21396.50	7354	0	95
2025.01.02	11:45:00	21396.40	21401.65	21365.65	21397.15	10592	0	95
2025.01.02	12:00:00	21397.25	21402.65	21370.25	21395.15	9427	0	95
2025.01.02	12:15:00	21395.25	21407.40	21389.65	21400.90	7627	0	95
2025.01.02	12:30:00	21400.78	21426.15	21385.40	21425.15	9054	0	95
2025.01.02	12:45:00	21425.25	21469.15	21423.40	21466.78	12063	0	95
2025.01.02	13:00:00	21466.65	21481.40	21455.15	21479.00	18343	0	95
2025.01.02	13:15:00	21478.75	21490.28	21471.15	21482.90	10599	0	95
2025.01.02	13:30:00	21483.03	21486.15	21444.90	21451.40	12449	0	95
2025.01.02	13:45:00	21451.53	21453.75	21413.00	21443.25	15999	0	95
2025.01.02	14:00:00	21443.15	21452.28	21430.90	21432.15	13979	0	95
2025.01.02	14:15:00	21432.28	21437.65	21408.65	21417.00	15080	0	95
2025.01.02	14:30:00	21417.00	21465.90	21404.00	21459.90	14513	0	95
2025.01.02	14:45:00	21460.03	21460.03	21410.53	21416.90	19640	0	95
2025.01.02	15:00:00	21416.78	21419.90	21334.50	21375.15	43914	0	95
2025.01.02	15:15:00	21375.03	21394.53	21345.03	21347.90	30499	0	95
2025.01.02	15:30:00	21347.75	21371.53	21166.25	21214.25	188456	0	95
2025.01.02	15:45:00	21213.75	21408.53	21203.75	21389.75	161627	0	95
2025.01.02	16:00:00	21389.75	21443.50	21370.78	21422.25	143105	0	95
2025.01.02	16:15:00	21422.15	21432.65	21254.78	21287.90	163062	0	95
2025.01.02	16:30:00	21288.03	21298.78	21209.25	21240.65	147861	0	95
2025.01.02	16:45:00	21240.78	21330.03	21213.03	21276.15	125300	0	95
2025.01.02	17:00:00	21276.28	21288.65	21185.65	21249.00	131166	0	95
2025.01.02	17:15:00	21248.90	21301.03	21225.28	21292.40	102561	0	95
2025.01.02	17:30:00	21292.28	21324.78	21269.00	21297.65	77190	0	95
2025.01.02	17:45:00	21297.50	21356.40	21288.53	21315.90	69209	0	95
2025.01.02	18:00:00	21316.03	21342.03	21279.53	21327.40	77039	0	95
2025.01.02	18:15:00	21327.53	21329.03	21142.65	21151.15	99950	0	95
2025.01.02	18:30:00	21151.28	21151.40	21021.65	21049.15	149679	0	95
2025.01.02	18:45:00	21049.40	21092.40	20983.40	21074.65	130084	0	95
2025.01.02	19:00:00	21074.75	21089.53	20995.00	21031.15	102191	0	95
2025.01.02	19:15:00	21031.25	21072.53	21000.15	21064.15	94383	0	95
2025.01.02	19:30:00	21064.03	21066.53	20992.78	21063.15	95083	0	95
2025.01.02	19:45:00	21063.28	21064.15	20987.40	21047.75	83744	0	95
2025.01.02	20:00:00	21047.90	21104.03	21027.90	21065.15	85004	0	95
2025.01.02	20:15:00	21065.28	21123.53	21058.40	21111.40	63709	0	95
2025.01.02	20:30:00	21111.25	21115.03	21066.75	21090.40	59060	0	95
2025.01.02	20:45:00	21090.53	21144.90	21057.28	21063.15	68966	0	95
2025.01.02	21:00:00	21063.28	21178.40	21061.90	21166.15	67533	0	95
2025.01.02	21:15:00	21166.03	21170.78	21138.90	21155.28	58374	0	95
2025.01.02	21:30:00	21155.15	21195.40	21119.90	21138.25	87927	0	95
2025.01.02	21:45:00	21138.15	21187.15	21132.78	21169.03	91691	0	95
2025.01.02	22:00:00	21168.90	21199.03	21168.15	21188.40	17778	0	95
2025.01.02	22:15:00	21188.25	21202.65	21181.15	21200.75	6519	0	95
2025.01.02	22:30:00	21200.25	21202.40	21178.50	21185.00	4443	0	95
2025.01.02	22:45:00	21184.75	21186.40	21178.15	21182.15	2404	0	95
2025.01.03	00:00:00	21184.50	21188.00	21163.00	21171.75	1963	0	95
2025.01.03	00:15:00	21172.40	21182.90	21148.50	21159.50	4098	0	95
2025.01.03	00:30:00	21159.75	21167.90	21150.25	21154.50	2545	0	95
2025.01.03	00:45:00	21154.50	21164.15	21143.78	21163.15	3688	0	95
2025.01.03	01:00:00	21162.75	21207.75	21153.00	21199.50	6598	0	95
2025.01.03	01:15:00	21199.50	21225.40	21191.65	21217.90	6707	0	95
2025.01.03	01:30:00	21218.00	21238.90	21216.50	21229.40	5437	0	95
2025.01.03	01:45:00	21229.28	21239.03	21226.03	21238.53	3330	0	95
2025.01.03	02:00:00	21238.65	21248.53	21229.65	21240.90	4533	0	95
2025.01.03	02:15:00	21241.03	21241.53	21215.50	21224.15	4521	0	95
2025.01.03	02:30:00	21224.00	21233.90	21213.78	21216.90	5339	0	95
2025.01.03	02:45:00	21216.78	21231.78	21205.28	21224.40	6126	0	95
2025.01.03	03:00:00	21224.28	21237.40	21221.78	21235.15	4985	0	95
2025.01.03	03:15:00	21235.03	21249.28	21233.53	21243.40	4715	0	95
2025.01.03	03:30:00	21243.28	21244.65	21226.00	21236.65	4807	0	95
2025.01.03	03:45:00	21236.50	21242.28	21221.00	21242.28	3640	0	95
2025.01.03	04:00:00	21242.40	21258.40	21242.00	21256.15	4858	0	95
2025.01.03	04:15:00	21256.03	21259.28	21245.03	21250.40	3808	0	95
2025.01.03	04:30:00	21250.50	21256.28	21246.78	21254.78	2770	0	95
2025.01.03	04:45:00	21254.65	21254.65	21243.75	21247.90	1646	0	95
2025.01.03	05:00:00	21248.03	21254.78	21236.15	21237.50	2422	0	95
2025.01.03	05:15:00	21237.40	21247.00	21236.78	21244.15	1571	0	95
2025.01.03	05:30:00	21244.28	21245.03	21229.53	21233.15	2122	0	95
