Time;Open;High;Low;Close;Volume
2025.11.10 04:30;25478.22;25487.23;25465.68;25470.94;1639
2025.11.10 04:45;25471.18;25471.74;25459.45;25459.93;1522
2025.11.10 05:00;25459.72;25484.73;25459.18;25468.70;1601
2025.11.10 05:15;25468.74;25468.95;25454.48;25465.94;1511
2025.11.10 05:30;25465.70;25469.43;25455.18;25467.33;1389
2025.11.10 05:45;25466.93;25475.23;25457.47;25465.24;1399
2025.11.10 06:00;25465.44;25488.49;25465.44;25485.43;1512
2025.11.10 06:15;25485.22;25494.98;25484.93;25490.68;1389
2025.11.10 06:30;25490.74;25491.69;25470.47;25482.19;1669
2025.11.10 06:45;25482.18;25487.69;25472.18;25482.43;1383
2025.11.10 07:00;25482.70;25488.99;25472.19;25480.49;1402
2025.11.10 07:15;25480.70;25490.45;25467.23;25472.72;1442
2025.11.10 07:30;25471.70;25488.69;25468.99;25483.97;1520
2025.11.10 07:45;25484.20;25500.48;25466.73;25468.99;1379
2025.11.10 08:00;25468.68;25484.91;25463.13;25483.16;1788
2025.11.10 08:15;25480.61;25484.60;25470.90;25478.61;1402
2025.11.10 08:30;25478.65;25493.63;25475.11;25492.63;1493
2025.11.10 08:45;25492.63;25498.66;25483.65;25488.87;1454
2025.11.10 09:00;25489.41;25492.38;25458.13;25460.62;2195
2025.11.10 09:15;25460.86;25460.86;25460.86;25460.86;1
