Time;Open;High;Low;Close;Volume
2025.11.10 09:15;25460.86;25491.16;25456.38;25488.12;1912
2025.11.10 09:30;25487.87;25514.12;25483.62;25512.36;1880
2025.11.10 09:45;25512.12;25532.87;25507.36;25530.92;1638
2025.11.10 10:00;25531.38;25544.13;25516.91;25542.15;2037
2025.11.10 10:15;25542.12;25566.42;25534.17;25538.65;2237
2025.11.10 10:30;25538.91;25547.67;25528.61;25539.38;1841
2025.11.10 10:45;25539.11;25558.40;25534.61;25551.91;1777
2025.11.10 11:00;25551.92;25554.63;25537.86;25538.90;1666
2025.11.10 11:15;25539.62;25549.92;25534.33;25536.92;1522
2025.11.10 11:30;25536.88;25557.12;25536.13;25547.67;1434
2025.11.10 11:45;25547.61;25550.92;25525.66;25528.38;1636
2025.11.10 12:00;25528.37;25542.17;25513.63;25516.17;1705
2025.11.10 12:15;25516.16;25522.92;25505.36;25510.16;1694
2025.11.10 12:30;25509.87;25529.58;25504.11;25527.92;1430
2025.11.10 12:45;25528.15;25545.15;25523.63;25544.32;1583
2025.11.10 13:00;25544.62;25550.42;25514.11;25524.88;2034
2025.11.10 13:15;25524.17;25527.63;25512.36;25516.38;1777
2025.11.10 13:30;25516.38;25532.40;25516.12;25531.36;1681
2025.11.10 13:45;25531.36;25545.41;25519.61;25537.87;1791
2025.11.10 14:00;25538.66;25538.66;25538.66;25538.66;1
