Time;Open;High;Low;Close;Volume
2025.11.07 03:45;25242.18;25268.74;25241.23;25267.72;2091
2025.11.07 04:00;25267.44;25280.19;25226.18;25236.99;2069
2025.11.07 04:15;25237.18;25249.36;25216.10;25230.97;1967
2025.11.07 04:30;25231.19;25240.95;25215.44;25218.45;2101
2025.11.07 04:45;25218.19;25231.99;25202.44;25222.22;1970
2025.11.07 05:00;25222.49;25222.49;25161.45;25194.99;2277
2025.11.07 05:15;25194.68;25263.72;25194.68;25251.48;2410
2025.11.07 05:30;25251.74;25254.22;25229.95;25238.97;1879
2025.11.07 05:45;25239.47;25253.98;25233.23;25249.68;1867
2025.11.07 06:00;25249.24;25298.24;25246.73;25292.95;2229
2025.11.07 06:15;25293.22;25311.43;25286.18;25288.19;2083
2025.11.07 06:30;25287.93;25319.97;25286.68;25314.45;1948
2025.11.07 06:45;25313.95;25331.43;25309.43;25331.43;1704
2025.11.07 07:00;25331.43;25337.20;25315.43;25322.95;1925
2025.11.07 07:15;25323.20;25335.95;25318.68;25330.73;1670
2025.11.07 07:30;25330.49;25331.70;25309.93;25330.22;1654
2025.11.07 07:45;25330.43;25339.49;25306.70;25324.24;1399
2025.11.07 08:00;25323.93;25333.88;25312.38;25332.66;1645
2025.11.07 08:15;25332.61;25347.63;25315.13;25328.63;1585
2025.11.07 08:30;25329.15;25329.15;25329.15;25329.15;1
