Time;Open;High;Low;Close;Volume
2025.11.06 18:30;25244.86;25297.87;25229.91;25290.12;3617
2025.11.06 18:45;25288.61;25354.90;25287.62;25336.92;3604
2025.11.06 19:00;25336.86;25347.36;25225.92;25248.63;3598
2025.11.06 19:15;25246.63;25337.42;25237.66;25323.37;3536
2025.11.06 19:30;25321.66;25369.91;25321.65;25362.13;3437
2025.11.06 19:45;25362.65;25363.92;25307.61;25328.86;3486
2025.11.06 20:00;25330.67;25409.28;25320.99;25394.02;3534
2025.11.06 20:15;25395.03;25435.73;25361.99;25430.75;3437
2025.11.06 20:30;25430.50;25437.28;25373.03;25402.03;3439
2025.11.06 20:45;25402.25;25424.75;25354.54;25402.48;3465
2025.11.06 21:00;25404.28;25413.29;25378.74;25389.77;3359
2025.11.06 21:15;25390.02;25401.28;25348.98;25353.28;3392
2025.11.06 21:30;25352.78;25369.75;25301.73;25303.24;3514
2025.11.06 21:45;25303.78;25312.25;25226.00;25257.24;3714
2025.11.06 22:00;25258.28;25291.52;25241.27;25289.79;2639
2025.11.06 22:15;25289.77;25293.27;25265.04;25278.78;1941
2025.11.06 22:30;25278.78;25312.78;25276.00;25306.73;1604
2025.11.06 22:45;25306.77;25317.52;25299.23;25309.59;1844
2025.11.07 00:00;25279.68;25296.49;25271.94;25280.18;719
2025.11.07 00:15;25280.49;25280.49;25280.49;25280.49;1
