Time;Open;High;Low;Close;Volume
2025.11.07 14:30;25075.81;25100.61;25065.88;25075.61;2734
2025.11.07 14:45;25076.65;25141.11;25076.36;25110.36;2694
2025.11.07 15:00;25109.61;25123.07;25080.33;25105.16;2809
2025.11.07 15:15;25104.92;25118.58;25075.65;25107.16;2822
2025.11.07 15:30;25108.67;25108.67;24916.90;24973.87;4045
2025.11.07 15:45;24972.67;25043.92;24931.61;25005.27;3974
2025.11.07 16:00;25012.53;25020.33;24882.88;25013.16;3938
2025.11.07 16:15;25012.17;25043.13;24953.11;24968.36;3880
2025.11.07 16:30;24967.92;24979.92;24864.38;24869.11;3802
2025.11.07 16:45;24868.41;24891.92;24822.35;24822.35;3739
2025.11.07 17:00;24822.17;24859.63;24778.16;24787.67;3711
2025.11.07 17:15;24786.92;24842.88;24770.65;24794.82;3669
2025.11.07 17:30;24794.61;24820.40;24755.87;24801.13;3650
2025.11.07 17:45;24800.36;24809.16;24718.62;24745.63;3633
2025.11.07 18:00;24744.62;24776.62;24708.62;24768.86;3576
2025.11.07 18:15;24767.66;24860.86;24766.40;24830.65;3655
2025.11.07 18:30;24828.62;24856.65;24794.16;24809.11;3552
2025.11.07 18:45;24808.91;24844.63;24756.28;24840.92;3563
2025.11.07 19:00;24841.62;24875.17;24821.91;24872.67;3482
2025.11.07 19:15;24872.63;24872.63;24872.63;24872.63;1
