Time;Open;High;Low;Close;Volume
2025.11.07 20:15;24947.98;24962.79;24922.48;24949.28;3303
2025.11.07 20:30;24949.74;25101.02;24949.74;25092.50;3560
2025.11.07 20:45;25092.24;25115.04;25045.77;25113.23;3617
2025.11.07 21:00;25113.25;25124.28;25061.73;25104.73;3631
2025.11.07 21:15;25104.77;25109.48;25023.28;25054.00;3631
2025.11.07 21:30;25053.99;25135.25;25053.99;25130.24;3558
2025.11.07 21:45;25130.29;25145.99;25064.54;25145.53;2780
2025.11.10 00:00;25363.30;25375.48;25322.94;25343.44;2115
2025.11.10 00:15;25343.99;25346.97;25299.43;25303.98;1873
2025.11.10 00:30;25304.20;25327.81;25296.69;25321.22;1693
2025.11.10 00:45;25321.24;25355.72;25314.68;25334.48;1863
2025.11.10 01:00;25334.44;25334.44;25268.43;25311.94;2699
2025.11.10 01:15;25311.99;25334.23;25301.93;25313.95;2216
2025.11.10 01:30;25314.44;25334.18;25305.45;25313.45;2216
2025.11.10 01:45;25313.48;25343.72;25300.95;25329.48;2224
2025.11.10 02:00;25328.93;25381.18;25326.19;25378.94;2542
2025.11.10 02:15;25378.97;25402.61;25371.06;25385.49;2258
2025.11.10 02:30;25385.73;25392.45;25374.20;25377.49;2095
2025.11.10 02:45;25377.95;25436.20;25376.69;25427.83;1913
2025.11.10 03:00;25427.97;25427.97;25427.97;25427.97;1
