Time;Open;High;Low;Close;Volume
2025.11.06 20:15;25395.03;25435.73;25361.99;25430.75;3437
2025.11.06 20:30;25430.50;25437.28;25373.03;25402.03;3439
2025.11.06 20:45;25402.25;25424.75;25354.54;25402.48;3465
2025.11.06 21:00;25404.28;25413.29;25378.74;25389.77;3359
2025.11.06 21:15;25390.02;25401.28;25348.98;25353.28;3392
2025.11.06 21:30;25352.78;25369.75;25301.73;25303.24;3514
2025.11.06 21:45;25303.78;25312.25;25226.00;25257.24;3714
2025.11.06 22:00;25258.28;25291.52;25241.27;25289.79;2639
2025.11.06 22:15;25289.77;25293.27;25265.04;25278.78;1941
2025.11.06 22:30;25278.78;25312.78;25276.00;25306.73;1604
2025.11.06 22:45;25306.77;25317.52;25299.23;25309.59;1844
2025.11.07 00:00;25279.68;25296.49;25271.94;25280.18;719
2025.11.07 00:15;25280.49;25311.87;25276.72;25305.32;743
2025.11.07 00:30;25305.48;25325.74;25294.44;25324.93;1381
2025.11.07 00:45;25325.18;25334.49;25312.93;25314.99;1717
2025.11.07 01:00;25315.18;25341.49;25278.94;25312.68;2621
2025.11.07 01:15;25312.20;25327.22;25295.93;25320.20;2247
2025.11.07 01:30;25320.69;25346.49;25318.74;25344.24;1786
2025.11.07 01:45;25344.19;25348.74;25320.98;25322.23;1753
2025.11.07 02:00;25322.45;25322.45;25322.45;25322.45;1
