Time;Open;High;Low;Close;Volume
2025.11.10 12:45;25528.15;25545.15;25523.63;25544.32;1583
2025.11.10 13:00;25544.62;25550.42;25514.11;25524.88;2034
2025.11.10 13:15;25524.17;25527.63;25512.36;25516.38;1777
2025.11.10 13:30;25516.38;25532.40;25516.12;25531.36;1681
2025.11.10 13:45;25531.36;25545.41;25519.61;25537.87;1791
2025.11.10 14:00;25538.66;25545.17;25519.15;25525.40;1696
2025.11.10 14:15;25525.61;25549.90;25518.91;25548.16;1618
2025.11.10 14:30;25547.40;25557.16;25534.12;25540.13;1735
2025.11.10 14:45;25540.11;25557.91;25528.41;25554.61;1909
2025.11.10 15:00;25554.42;25555.42;25528.61;25531.42;2039
2025.11.10 15:15;25531.41;25555.40;25520.62;25537.16;2357
2025.11.10 15:30;25537.65;25638.65;25525.37;25628.62;3850
2025.11.10 15:45;25628.61;25656.17;25588.66;25637.13;3753
2025.11.10 16:00;25636.61;25659.62;25618.88;25623.16;3600
2025.11.10 16:15;25623.86;25665.12;25610.61;25641.17;3565
2025.11.10 16:30;25642.40;25662.56;25613.61;25616.35;3561
2025.11.10 16:45;25615.42;25629.37;25516.33;25521.63;3634
2025.11.10 17:00;25522.67;25536.15;25473.63;25509.86;3708
2025.11.10 17:15;25510.58;25525.82;25476.36;25483.65;3576
2025.11.10 17:30;25482.13;25482.13;25482.13;25482.13;1
