Time;Open;High;Low;Close;Volume
2025.11.07 07:30;25330.49;25331.70;25309.93;25330.22;1654
2025.11.07 07:45;25330.43;25339.49;25306.70;25324.24;1399
2025.11.07 08:00;25323.93;25333.88;25312.38;25332.66;1645
2025.11.07 08:15;25332.61;25347.63;25315.13;25328.63;1585
2025.11.07 08:30;25329.15;25336.74;25325.67;25333.17;1294
2025.11.07 08:45;25333.37;25346.92;25329.11;25334.61;1629
2025.11.07 09:00;25334.87;25350.91;25329.60;25349.12;2360
2025.11.07 09:15;25349.40;25353.41;25288.87;25300.62;2301
2025.11.07 09:30;25300.62;25306.92;25271.38;25294.88;2239
2025.11.07 09:45;25295.12;25316.81;25294.87;25311.61;1993
2025.11.07 10:00;25310.91;25327.42;25281.86;25322.61;2343
2025.11.07 10:15;25322.65;25325.42;25271.38;25275.11;2092
2025.11.07 10:30;25275.42;25282.36;25244.37;25256.16;2222
2025.11.07 10:45;25255.86;25272.40;25239.86;25257.86;2118
2025.11.07 11:00;25258.63;25276.41;25219.61;25219.91;2137
2025.11.07 11:15;25220.15;25225.15;25186.13;25217.86;2418
2025.11.07 11:30;25217.92;25246.16;25215.15;25228.38;2137
2025.11.07 11:45;25227.62;25233.62;25209.91;25217.66;2038
2025.11.07 12:00;25217.90;25217.90;25122.40;25123.67;2374
2025.11.07 12:15;25123.37;25123.37;25123.37;25123.37;1
