Time;Open;High;Low;Close;Volume
2025.11.10 00:00;25363.30;25375.48;25322.94;25343.44;2115
2025.11.10 00:15;25343.99;25346.97;25299.43;25303.98;1873
2025.11.10 00:30;25304.20;25327.81;25296.69;25321.22;1693
2025.11.10 00:45;25321.24;25355.72;25314.68;25334.48;1863
2025.11.10 01:00;25334.44;25334.44;25268.43;25311.94;2699
2025.11.10 01:15;25311.99;25334.23;25301.93;25313.95;2216
2025.11.10 01:30;25314.44;25334.18;25305.45;25313.45;2216
2025.11.10 01:45;25313.48;25343.72;25300.95;25329.48;2224
2025.11.10 02:00;25328.93;25381.18;25326.19;25378.94;2542
2025.11.10 02:15;25378.97;25402.61;25371.06;25385.49;2258
2025.11.10 02:30;25385.73;25392.45;25374.20;25377.49;2095
2025.11.10 02:45;25377.95;25436.20;25376.69;25427.83;1913
2025.11.10 03:00;25427.97;25431.69;25408.95;25420.47;2033
2025.11.10 03:15;25420.49;25428.24;25416.43;25421.97;1745
2025.11.10 03:30;25421.95;25439.99;25421.95;25434.73;1626
2025.11.10 03:45;25434.22;25448.06;25430.93;25431.43;1618
2025.11.10 04:00;25431.20;25460.49;25430.73;25455.49;1766
2025.11.10 04:15;25455.24;25480.19;25453.20;25478.47;1559
2025.11.10 04:30;25478.22;25487.23;25465.68;25470.94;1639
2025.11.10 04:45;25471.18;25471.18;25471.18;25471.18;1
