Time;Open;High;Low;Close;Volume
2025.11.07 05:30;25251.74;25254.22;25229.95;25238.97;1879
2025.11.07 05:45;25239.47;25253.98;25233.23;25249.68;1867
2025.11.07 06:00;25249.24;25298.24;25246.73;25292.95;2229
2025.11.07 06:15;25293.22;25311.43;25286.18;25288.19;2083
2025.11.07 06:30;25287.93;25319.97;25286.68;25314.45;1948
2025.11.07 06:45;25313.95;25331.43;25309.43;25331.43;1704
2025.11.07 07:00;25331.43;25337.20;25315.43;25322.95;1925
2025.11.07 07:15;25323.20;25335.95;25318.68;25330.73;1670
2025.11.07 07:30;25330.49;25331.70;25309.93;25330.22;1654
2025.11.07 07:45;25330.43;25339.49;25306.70;25324.24;1399
2025.11.07 08:00;25323.93;25333.88;25312.38;25332.66;1645
2025.11.07 08:15;25332.61;25347.63;25315.13;25328.63;1585
2025.11.07 08:30;25329.15;25336.74;25325.67;25333.17;1294
2025.11.07 08:45;25333.37;25346.92;25329.11;25334.61;1629
2025.11.07 09:00;25334.87;25350.91;25329.60;25349.12;2360
2025.11.07 09:15;25349.40;25353.41;25288.87;25300.62;2301
2025.11.07 09:30;25300.62;25306.92;25271.38;25294.88;2239
2025.11.07 09:45;25295.12;25316.81;25294.87;25311.61;1993
2025.11.07 10:00;25310.91;25327.42;25281.86;25322.61;2343
2025.11.07 10:15;25322.65;25322.65;25322.65;25322.65;1
