Time;Open;High;Low;Close;Volume
2025.11.07 02:00;25322.45;25332.18;25272.94;25303.98;2798
2025.11.07 02:15;25303.18;25305.24;25244.73;25247.43;2727
2025.11.07 02:30;25248.49;25260.68;25199.69;25244.70;2942
2025.11.07 02:45;25244.47;25271.73;25240.18;25270.99;2506
2025.11.07 03:00;25270.93;25273.49;25231.43;25233.43;2483
2025.11.07 03:15;25233.45;25246.22;25206.74;25207.23;2325
2025.11.07 03:30;25206.73;25258.93;25206.73;25241.48;2291
2025.11.07 03:45;25242.18;25268.74;25241.23;25267.72;2091
2025.11.07 04:00;25267.44;25280.19;25226.18;25236.99;2069
2025.11.07 04:15;25237.18;25249.36;25216.10;25230.97;1967
2025.11.07 04:30;25231.19;25240.95;25215.44;25218.45;2101
2025.11.07 04:45;25218.19;25231.99;25202.44;25222.22;1970
2025.11.07 05:00;25222.49;25222.49;25161.45;25194.99;2277
2025.11.07 05:15;25194.68;25263.72;25194.68;25251.48;2410
2025.11.07 05:30;25251.74;25254.22;25229.95;25238.97;1879
2025.11.07 05:45;25239.47;25253.98;25233.23;25249.68;1867
2025.11.07 06:00;25249.24;25298.24;25246.73;25292.95;2229
2025.11.07 06:15;25293.22;25311.43;25286.18;25288.19;2083
2025.11.07 06:30;25287.93;25319.97;25286.68;25314.45;1948
2025.11.07 06:45;25313.95;25313.95;25313.95;25313.95;1
