Time;Open;High;Low;Close;Volume
2025.11.07 12:00;25217.90;25217.90;25122.40;25123.67;2374
2025.11.07 12:15;25123.37;25157.92;25099.65;25124.65;2893
2025.11.07 12:30;25124.41;25137.88;25083.63;25137.88;2792
2025.11.07 12:45;25138.36;25190.36;25134.90;25178.38;2606
2025.11.07 13:00;25178.61;25190.16;25157.88;25179.87;2502
2025.11.07 13:15;25179.91;25194.15;25145.11;25159.63;2631
2025.11.07 13:30;25159.38;25159.92;25106.11;25107.11;2462
2025.11.07 13:45;25106.90;25111.41;25062.87;25091.11;2858
2025.11.07 14:00;25091.15;25137.12;25068.62;25104.90;2935
2025.11.07 14:15;25104.92;25145.91;25070.30;25076.53;2726
2025.11.07 14:30;25075.81;25100.61;25065.88;25075.61;2734
2025.11.07 14:45;25076.65;25141.11;25076.36;25110.36;2694
2025.11.07 15:00;25109.61;25123.07;25080.33;25105.16;2809
2025.11.07 15:15;25104.92;25118.58;25075.65;25107.16;2822
2025.11.07 15:30;25108.67;25108.67;24916.90;24973.87;4045
2025.11.07 15:45;24972.67;25043.92;24931.61;25005.27;3974
2025.11.07 16:00;25012.53;25020.33;24882.88;25013.16;3938
2025.11.07 16:15;25012.17;25043.13;24953.11;24968.36;3880
2025.11.07 16:30;24967.92;24979.92;24864.38;24869.11;3802
2025.11.07 16:45;24868.41;24868.41;24868.41;24868.41;1
