Time;Open;High;Low;Close;Volume
2025.11.10 11:30;25536.88;25557.12;25536.13;25547.67;1434
2025.11.10 11:45;25547.61;25550.92;25525.66;25528.38;1636
2025.11.10 12:00;25528.37;25542.17;25513.63;25516.17;1705
2025.11.10 12:15;25516.16;25522.92;25505.36;25510.16;1694
2025.11.10 12:30;25509.87;25529.58;25504.11;25527.92;1430
2025.11.10 12:45;25528.15;25545.15;25523.63;25544.32;1583
2025.11.10 13:00;25544.62;25550.42;25514.11;25524.88;2034
2025.11.10 13:15;25524.17;25527.63;25512.36;25516.38;1777
2025.11.10 13:30;25516.38;25532.40;25516.12;25531.36;1681
2025.11.10 13:45;25531.36;25545.41;25519.61;25537.87;1791
2025.11.10 14:00;25538.66;25545.17;25519.15;25525.40;1696
2025.11.10 14:15;25525.61;25549.90;25518.91;25548.16;1618
2025.11.10 14:30;25547.40;25557.16;25534.12;25540.13;1735
2025.11.10 14:45;25540.11;25557.91;25528.41;25554.61;1909
2025.11.10 15:00;25554.42;25555.42;25528.61;25531.42;2039
2025.11.10 15:15;25531.41;25555.40;25520.62;25537.16;2357
2025.11.10 15:30;25537.65;25638.65;25525.37;25628.62;3850
2025.11.10 15:45;25628.61;25656.17;25588.66;25637.13;3753
2025.11.10 16:00;25636.61;25659.62;25618.88;25623.16;3600
2025.11.10 16:15;25623.86;25623.86;25623.86;25623.86;1
